Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,FRS 2,462.587500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
2,FRS 3,462.612500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
3,FRS 4,462.637500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
4,FRS 5,462.662500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
5,FRS 6,462.687500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
6,FRS 7,462.712500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
7,FRS 8,467.562500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
8,FRS 9,467.587500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
9,FRS 10,467.612500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
10,FRS 11,467.637500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
11,FRS 12,467.662500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
12,FRS 13,467.687500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
13,FRS 14,467.712500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
14,GMRS 1,462.550000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
15,GMRS 1,462.575000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
16,GMRS 1,462.600000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
17,GMRS 1,462.625000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
18,GMRS 1,462.650000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
19,GMRS 2,462.675000,,0.000000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
20,GMRS 2,462.700000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
21,GMRS 2,462.725000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
22,MURS 1,151.820000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
23,MURS 2,151.880000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
24,MURS 3,151.940000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
25,MURS 4,154.570000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
26,MURS 5,154.600000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
27,BUSRED,151.625000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
28,BUSPUR,151.955000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
29,WX 1,162.550000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
30,WX 2,162.400000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
31,WX 3,162.475000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
32,WX 4,162.425000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
33,WX 5,162.450000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
34,WX 6,162.500000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
35,WX 7,162.525000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
36,KC6ULT,146.865000,-,0.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
37,WA6TOW,146.925000,-,0.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
38,DOE 1,151.820000,,0.000000,TSQL,88.5,77.0,023,NN,023,Tone->Tone,NFM,5.00,,25W,,,,,
39,DOE 2,151.880000,,0.000000,TSQL,88.5,77.0,023,NN,023,Tone->Tone,NFM,5.00,,25W,,,,,
40,DOE 3,151.940000,,0.000000,TSQL,88.5,77.0,023,NN,023,Tone->Tone,NFM,5.00,,25W,,,,,
41,DOE 4,154.570000,,0.000000,TSQL,88.5,77.0,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
42,BMAN91,451.900000,,0.000000,Tone,91.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,25W,,,,,
43,BM ART,154.570000,,0.000000,Tone,97.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
44,BM UHF,440.175000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
45,BM VHF,145.230000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,25W,,,,,
46,V 1,462.675000,,0.000000,DTCS,88.5,88.5,025,RR,025,Tone->Tone,NFM,5.00,,25W,,,,,
48,V 2,462.700000,,0.000000,DTCS,88.5,88.5,025,RR,025,Tone->Tone,NFM,5.00,,25W,,,,,
